,Star_name,Distance,Mass,Radius
0,54 Piscium,36.1,B,53
1,81 Cancri,66,CD,
2,AB Pictoris,66.6,b,13.5
3,CD−33°7795,163.08,b,20
4,CT Chamaeleontis,538,b,17
5,Eta Coronae Borealis,58.3,C,63
6,G 196-3,50.2,b,25
7,GD 165,103,B,
8,Gliese 570,19.0,D,52
9,GU Piscium,155.3,b,11
10,HD 89744,126.2,B,
11,HD 100546,337.25,b,20
12,HN Pegasi,58.3,B,28
13,LHS 4040 [es],,C,
14,UScoCTIO 108,473,b,14
15,WD 0137-349,330,B,53
16,HD 41004 B,139,b,18.4
17,HD 149382,241,b,15.5
18,COROT-15,,b,63.4
19,Xi Ursae Majoris B,25.11,b,37
20,Upsilon Andromedae,43.9,Samh,13.98
21,Gliese 758,51.9,B,23
22,HD 112758,53.81,b,35
23,BD−04°782,66.6,b,21
24,HD 110833,55.44,b,17
25,HD 89707,81.54,b,54
26,Tau Geminorum,302,b,18.1
27,HAT-P-13,698,c,15.2
28,HD 217580,58.7,b,60
29,HD 16760,163,b,14.3
30,HD 13189,603.4,b,14
31,HD 18445,83.92,b,39
32,HD 8673,124.75,b,14
33,NGC 4349-127,7097,b,19.8
34,Gliese 569,31.5,Ba + Bb,116[7]
35,HD 29587,146.77,b,40
36,ChaHα8,522,b,18
37,COROT-20,4000,c,17
38,HD 168443,123.5,c,34
39,HD 38529 A,138,c,37
40,Epsilon Indi,11.8,Bb,28
41,HW Virginis,590,b,19.23
42,DT Virginis,37.55,c,12.5
43,HD 4113,136,C,60
44,Gliese 229,19,B,40
45,TYC 9486-927-1,111,2MASS J2126-8140,13.3 (± 1.7)  MJ
46,Epsilon Indi,11.8,Ba,47
47,HD 131664,180.8,b,18.15
48,HD 136118,171,b,42
49,HD 140913,156.42,b,46
50,GQ Lupi,400,b,1-42
51,HD 162020,101.95,b,15.0
52,Nu Ophiuchi,152.8,b,21.9
53,HD 164427,127.52,b,46
54,SCR 1845-6357,12.57,B,40-50
55,COROT-3,2220,b,21.66
56,15 Sagittae,57.7,B,65
57,Zeta Delphini,220,B,55
58,HD 202206,151.14,b,17.4
